InvoiceNo,Date,StoreID,ProductID,Category,Quantity,UnitPrice,Discount,CostPerUnit,CustomerType,PaymentMode
INV109862,10/8/2024 22:13,S007,A0054,Accessories,7,35.34,25.41,16.14,Returning,Cash
INV107269,10/8/2024 22:35,S002,C0099,Clothing,4,109.11,9.35,63.49,New,Digital
INV106007,10/9/2024 0:06,S010,C0087,Clothing,8,36.02,23.95,18.91,New,Cash
INV109077,10/9/2024 0:19,S005,C0007,Clothing,10,46.06,14.42,27.87,New,Digital
INV102363,10/9/2024 2:17,S011,C0097,Clothing,4,26.98,12.8,14.33,New,Digital
INV100786,10/9/2024 2:36,S010,C0073,Clothing,3,118.65,12.86,76.55,New,Card
INV104022,10/9/2024 2:40,S017,A0001,Accessories,4,56.84,8.61,40.21,Returning,Digital
INV103982,10/9/2024 3:40,S007,SH0011,Shoes,3,54.72,27.11,36.38,New,Cash
INV105683,10/9/2024 3:58,S010,C0095,Clothing,5,40.05,19.04,30.19,New,Cash
INV106348,10/9/2024 5:21,S015,SH0035,Shoes,3,69.05,12.36,40.03,Returning,Digital
INV108104,10/9/2024 5:51,S017,SH0015,Shoes,9,198.2,18.18,145.17,Returning,Digital
INV108052,10/9/2024 6:09,S018,A0042,Accessories,10,69.5,15.21,41.28,New,Card
INV100123,10/9/2024 6:53,S004,SH0039,Shoes,7,124.44,10.94,72.59,New,Cash
INV102520,10/9/2024 7:48,S003,SH0026,Shoes,4,118.25,27.78,100.22,New,Digital
INV106721,10/9/2024 8:00,S018,C0067,Clothing,8,116.18,20,88.46,Returning,Card
INV101844,10/9/2024 12:20,S020,SH0022,Shoes,7,54.49,22.3,44.7,New,Cash
INV103002,10/9/2024 16:07,S004,A0052,Accessories,8,70.26,24.29,34.25,New,Cash
INV100609,10/9/2024 16:26,S017,C0018,Clothing,9,100.18,27.45,62.51,Returning,Cash
INV100881,10/9/2024 17:13,S012,SH0023,Shoes,10,183.62,22.83,148.3,Returning,Digital
INV102773,10/9/2024 20:48,S004,C0095,Clothing,5,37.73,12.28,29.2,Returning,Card
INV103326,10/9/2024 21:03,S007,A0032,Accessories,3,53.59,24.35,39.68,Returning,Digital
INV106826,10/9/2024 21:25,S004,SH0013,Shoes,7,97.47,26.69,57.82,Returning,Cash
INV101575,10/9/2024 22:58,S019,C0006,Clothing,4,32.71,28.66,19.26,New,Cash
INV103493,10/9/2024 23:42,S018,C0042,Clothing,4,58.19,11.93,42.44,New,Digital
INV107554,10/10/2024 0:30,S003,A0018,Accessories,3,26.84,26.12,11.79,Returning,Cash
INV109653,10/10/2024 2:34,S020,C0004,Clothing,7,80.7,27.36,47.5,Returning,Card
INV108409,10/10/2024 3:11,S012,A0002,Accessories,5,71.78,19.14,49.09,Returning,Digital
INV104883,10/10/2024 3:30,S018,A0042,Accessories,7,37.41,9.88,22.24,Returning,Digital
INV108751,10/10/2024 4:27,S004,SH0016,Shoes,4,130.95,10.39,98.86,New,Cash
INV107786,10/10/2024 4:33,S003,C0043,Clothing,7,95.83,14.84,65.08,New,Digital
INV105299,10/10/2024 4:55,S019,A0046,Accessories,6,45.66,5.78,26.24,Returning,Cash
INV105416,10/10/2024 6:14,S009,C0100,Clothing,3,65.83,19.54,51.98,Returning,Card
INV102396,10/10/2024 7:14,S016,A0017,Accessories,3,11.7,13.01,7.58,Returning,Cash
INV105535,10/10/2024 8:35,S012,A0015,Accessories,5,39.07,20.21,22.52,Returning,Digital
INV107980,10/10/2024 9:37,S012,C0069,Clothing,5,113.56,25.27,72.56,New,Cash
INV102497,10/10/2024 10:21,S015,A0059,Accessories,6,38.74,29.53,23.68,Returning,Digital
INV102808,10/10/2024 12:00,S011,C0081,Clothing,6,49.23,13.41,27.56,Returning,Digital
INV106794,10/10/2024 12:55,S002,C0089,Clothing,10,66.79,16.92,44.81,New,Cash
INV103886,10/10/2024 13:19,S001,A0012,Accessories,10,15.86,17.55,7.72,Returning,Card
INV105452,10/10/2024 13:26,S003,A0027,Accessories,5,79.83,26.15,41.62,Returning,Cash
INV101873,10/10/2024 15:42,S016,SH0038,Shoes,3,124.04,24.99,101.32,Returning,Card
INV104394,10/10/2024 15:55,S016,C0034,Clothing,4,100.88,24.22,75.39,New,Digital
INV106676,10/10/2024 16:49,S019,SH0012,Shoes,8,103.54,21.82,78.22,New,Cash
INV105154,10/10/2024 20:16,S018,SH0036,Shoes,9,45.92,18.52,29.4,New,Card
INV105999,10/10/2024 21:07,S016,C0070,Clothing,6,89.12,20.92,52.25,New,Cash
INV101241,10/10/2024 21:08,S003,A0053,Accessories,8,36.57,26.24,16.59,Returning,Cash
INV108664,10/10/2024 22:43,S008,SH0006,Shoes,4,83.36,26.33,49.64,New,Cash
INV101949,10/10/2024 23:06,S011,A0051,Accessories,10,20.74,5.92,11.23,New,Card
INV104197,10/10/2024 23:34,S015,A0018,Accessories,8,63.68,21.4,29.7,Returning,Digital
INV109879,10/11/2024 2:46,S016,SH0006,Shoes,5,135.96,18.83,101,New,Card
INV101339,10/11/2024 4:20,S001,SH0013,Shoes,8,119.03,22.04,92.24,Returning,Digital
INV109664,10/11/2024 6:37,S014,SH0028,Shoes,8,128.68,21.33,98.82,New,Digital
INV102223,10/11/2024 7:23,S010,C0056,Clothing,9,109.83,18.38,71.86,Returning,Card
INV109991,10/11/2024 7:24,S009,SH0009,Shoes,8,192.16,20.84,135.83,New,Card
INV102646,10/11/2024 8:11,S001,C0050,Clothing,4,94.94,16.85,60.79,Returning,Digital
INV107180,10/11/2024 10:31,S020,SH0031,Shoes,10,146.29,25.4,113.84,Returning,Cash
INV105888,10/11/2024 12:01,S009,A0019,Accessories,8,20.83,29.72,11.35,New,Digital
INV101862,10/11/2024 13:57,S012,A0002,Accessories,4,19.18,14.15,10.04,New,Cash
INV105250,10/11/2024 15:19,S006,C0009,Clothing,3,41.92,14.5,27.69,Returning,Cash
INV103414,10/11/2024 15:26,S017,SH0010,Shoes,7,165.54,16.2,110.05,Returning,Digital
INV105986,10/11/2024 16:01,S001,C0064,Clothing,4,117.65,12.42,85.12,Returning,Card
INV107712,10/11/2024 16:32,S016,SH0040,Shoes,4,100.23,10.76,56.85,Returning,Card
INV106512,10/11/2024 18:13,S001,C0032,Clothing,4,25.45,14.41,15.11,New,Digital
INV106818,10/11/2024 21:21,S008,SH0036,Shoes,7,40.58,17.56,27,Returning,Card
INV103137,10/11/2024 21:37,S020,SH0035,Shoes,8,134.29,19.03,100.28,New,Card
INV101437,10/11/2024 22:28,S020,SH0040,Shoes,10,162.46,22.05,124.98,New,Card
INV108679,10/11/2024 22:58,S013,SH0002,Shoes,3,70.43,6.32,54.92,Returning,Card
INV103268,10/12/2024 0:58,S002,A0055,Accessories,5,65.33,14.95,41.34,Returning,Cash
INV106598,10/12/2024 3:26,S018,A0038,Accessories,5,33.67,24.22,15.82,New,Digital
INV108021,10/12/2024 4:43,S019,C0097,Clothing,8,91.7,13.41,60.74,Returning,Card
INV107113,10/12/2024 5:00,S005,SH0012,Shoes,3,98.26,21.05,79.86,New,Card
INV105878,10/12/2024 5:18,S004,SH0026,Shoes,5,42.13,23.82,23.48,Returning,Cash
INV103584,10/12/2024 5:50,S011,SH0034,Shoes,8,55.42,11.25,37.56,New,Card
INV105849,10/12/2024 7:22,S019,A0009,Accessories,3,76.07,5.87,41.44,Returning,Card
INV109942,10/12/2024 7:27,S017,C0093,Clothing,9,22.95,25.96,14.63,Returning,Card
INV103197,10/12/2024 7:44,S014,A0057,Accessories,10,19.08,21.7,11.28,New,Cash
INV106997,10/12/2024 8:00,S018,A0003,Accessories,4,58.23,7.48,28.71,New,Digital
INV104657,10/12/2024 10:13,S013,C0059,Clothing,6,104.26,8.9,61.73,New,Cash
INV105220,10/12/2024 12:52,S019,C0059,Clothing,8,86.63,22.96,59.68,Returning,Cash
INV107869,10/12/2024 13:27,S012,C0061,Clothing,9,26.21,10.87,18.11,New,Cash
INV100087,10/12/2024 13:41,S007,A0040,Accessories,3,38.57,22.26,28.27,Returning,Card
INV107340,10/12/2024 13:44,S004,A0005,Accessories,3,76.97,14.61,54.62,Returning,Cash
INV104833,10/12/2024 15:32,S012,C0094,Clothing,10,91.68,25.38,60.55,Returning,Digital
INV101704,10/12/2024 15:46,S012,SH0014,Shoes,5,194.25,11.49,124.85,Returning,Cash
INV107283,10/12/2024 16:47,S019,A0038,Accessories,8,67.73,9.13,30.51,New,Card
INV101431,10/12/2024 16:52,S018,SH0034,Shoes,3,142.31,24.01,120.68,New,Cash
INV108214,10/12/2024 17:06,S019,C0081,Clothing,7,71.58,16.15,45.9,New,Cash
INV107200,10/12/2024 17:48,S016,SH0031,Shoes,9,174.06,29.33,146.95,New,Cash
INV107754,10/12/2024 18:39,S001,A0013,Accessories,6,38,24.77,19.06,Returning,Cash
INV108179,10/12/2024 19:07,S011,A0007,Accessories,8,23.57,17.23,16.28,Returning,Digital
INV102010,10/12/2024 19:14,S006,SH0032,Shoes,3,53.56,21.15,30.45,Returning,Card
INV109421,10/12/2024 19:53,S005,A0032,Accessories,8,36.23,13.21,22.98,Returning,Card
INV104682,10/12/2024 20:54,S016,C0044,Clothing,9,47.83,11.35,24.01,New,Digital
INV103132,10/12/2024 21:03,S001,SH0028,Shoes,8,101.42,12.16,69.03,Returning,Cash
INV104927,10/12/2024 22:35,S020,SH0024,Shoes,3,166.86,18.14,137.55,New,Digital
INV106733,10/12/2024 23:19,S016,C0026,Clothing,4,62.53,28.96,49.31,New,Card
INV107854,10/12/2024 23:32,S002,SH0013,Shoes,6,51.74,18.23,39.93,New,Card
INV101526,10/12/2024 23:35,S009,C0072,Clothing,8,48.09,25.39,26.3,New,Card
INV102061,10/13/2024 0:56,S005,C0064,Clothing,9,89.27,15.58,66.52,New,Card
INV108405,10/13/2024 2:36,S018,C0003,Clothing,3,80.65,10.96,50.99,New,Card
INV105234,10/13/2024 3:45,S011,SH0009,Shoes,7,170.83,25.36,107.05,Returning,Cash
INV109273,10/13/2024 7:56,S002,A0057,Accessories,4,13.92,6.34,5.86,New,Cash
INV100386,10/13/2024 9:00,S016,SH0009,Shoes,3,95.02,22.19,65.64,Returning,Card
INV103638,10/13/2024 10:15,S020,C0030,Clothing,9,31.88,12.73,21.06,Returning,Card
INV103667,10/13/2024 10:43,S013,A0060,Accessories,5,43.86,16.13,18.97,New,Cash
INV105223,10/13/2024 11:21,S014,A0008,Accessories,9,41.33,19.26,17.75,Returning,Digital
INV104828,10/13/2024 15:13,S008,C0051,Clothing,8,76.5,11.57,59.02,New,Card
INV108674,10/13/2024 17:55,S016,SH0008,Shoes,6,58.16,6.18,43.84,New,Digital
INV105546,10/13/2024 18:39,S011,A0032,Accessories,8,21.98,13.78,10.98,Returning,Cash
INV105364,10/13/2024 19:37,S015,SH0039,Shoes,7,113.44,19.3,67.03,Returning,Cash
INV101097,10/13/2024 20:25,S016,C0020,Clothing,5,61.13,24.07,39.16,Returning,Digital
INV100737,10/13/2024 21:08,S008,A0037,Accessories,8,61.48,22.69,25.73,Returning,Digital
INV104735,10/13/2024 22:39,S008,A0043,Accessories,5,72.87,9.1,49.52,New,Digital
INV101360,10/13/2024 23:00,S018,C0067,Clothing,5,44.47,10.1,25.74,Returning,Card
INV108597,10/13/2024 23:50,S015,C0083,Clothing,5,105.14,13.74,69.52,New,Digital
INV100268,10/14/2024 1:06,S010,C0025,Clothing,7,60.93,21.51,40.59,New,Cash
INV101974,10/14/2024 1:44,S018,SH0007,Shoes,4,117.71,10.14,97.91,Returning,Cash
INV107345,10/14/2024 4:17,S015,SH0023,Shoes,6,60.53,7.01,51.22,New,Cash
INV106261,10/14/2024 5:35,S020,SH0024,Shoes,4,116.56,14.31,86.54,Returning,Card
INV106924,10/14/2024 5:51,S015,SH0002,Shoes,7,75.92,28.88,57.49,Returning,Digital
INV103714,10/14/2024 6:00,S014,SH0031,Shoes,6,180.1,29.6,123.73,New,Digital
INV108465,10/14/2024 6:32,S009,C0023,Clothing,9,105.31,29.05,73.53,New,Digital
INV101606,10/14/2024 6:57,S006,SH0039,Shoes,6,64.38,13.73,48.41,Returning,Digital
INV102364,10/14/2024 10:40,S017,A0056,Accessories,7,51.11,16.26,20.48,Returning,Card
INV108241,10/14/2024 11:19,S005,A0044,Accessories,6,69.27,6.28,48.43,Returning,Digital
INV102227,10/14/2024 13:28,S011,C0096,Clothing,10,85.19,15.61,62.78,New,Card
INV105482,10/14/2024 13:35,S003,SH0029,Shoes,10,89.57,12.98,74.46,Returning,Digital
INV106011,10/14/2024 15:07,S011,C0077,Clothing,4,107.89,21.48,67.38,Returning,Digital
INV105817,10/14/2024 15:28,S015,SH0020,Shoes,5,184.6,26.24,126.55,New,Cash
INV102498,10/14/2024 15:35,S015,C0047,Clothing,7,98.87,14.99,61.93,New,Digital
INV103217,10/14/2024 16:11,S011,SH0008,Shoes,10,135.11,19,111.45,Returning,Digital
INV106220,10/14/2024 20:05,S019,SH0038,Shoes,5,130.89,28.28,78.67,Returning,Digital
INV104895,10/14/2024 20:44,S009,A0023,Accessories,6,73.95,6.25,43.78,Returning,Card
INV100034,10/14/2024 21:24,S007,SH0012,Shoes,3,138.48,12.6,88.67,Returning,Digital
INV102108,10/14/2024 21:37,S019,A0008,Accessories,3,57.47,15.2,25.14,New,Digital
INV106428,10/14/2024 21:47,S011,SH0006,Shoes,7,53.83,5.52,35.38,New,Card
INV107043,10/14/2024 22:29,S015,C0073,Clothing,8,73.26,10.64,49.34,Returning,Card
INV101459,10/14/2024 22:48,S010,A0055,Accessories,5,77.44,14.5,45.12,New,Digital
INV102784,10/15/2024 0:08,S002,C0097,Clothing,9,108.11,16.03,59.21,Returning,Card
INV100780,10/15/2024 0:09,S006,C0011,Clothing,9,44.5,8.74,22.42,Returning,Digital
INV108823,10/15/2024 1:06,S019,SH0008,Shoes,3,60.96,23.66,41.74,Returning,Cash
INV106589,10/15/2024 4:14,S004,SH0005,Shoes,3,72.67,5.53,59.34,Returning,Digital
INV108940,10/15/2024 5:02,S012,A0019,Accessories,3,10.31,13.06,4.3,Returning,Cash
INV105919,10/15/2024 7:59,S009,A0020,Accessories,6,12.95,10.02,8.72,New,Cash
INV109686,10/15/2024 8:04,S006,SH0032,Shoes,4,103.93,19.08,62.8,New,Digital
INV103827,10/15/2024 8:42,S012,C0100,Clothing,5,32.77,15.45,22.75,Returning,Card
INV107863,10/15/2024 8:45,S019,A0047,Accessories,5,67.32,9.9,46.41,New,Card
INV101816,10/15/2024 11:15,S002,C0071,Clothing,9,110.95,25.57,74.44,New,Digital
INV104193,10/15/2024 11:47,S014,A0054,Accessories,10,39.36,24.1,27.77,New,Digital
INV108433,10/15/2024 13:41,S014,A0019,Accessories,10,18.76,25.77,9.5,New,Card
INV101524,10/15/2024 13:52,S014,A0050,Accessories,3,32.17,16.32,16.35,New,Digital
INV105646,10/15/2024 13:55,S015,A0038,Accessories,10,17.59,19.87,12.55,New,Card
INV107226,10/15/2024 15:18,S010,SH0009,Shoes,5,65.45,13.18,55.07,Returning,Digital
INV102620,10/15/2024 15:47,S016,SH0019,Shoes,8,47.17,25.55,26.83,New,Cash
INV104294,10/15/2024 16:29,S019,A0046,Accessories,4,38.28,23.83,19.42,Returning,Card
INV106976,10/15/2024 19:14,S003,A0026,Accessories,7,21.84,27.81,10.9,New,Digital
INV109695,10/15/2024 20:20,S003,A0012,Accessories,5,45.43,8.19,18.5,New,Digital
INV107865,10/15/2024 21:39,S017,A0022,Accessories,10,66.07,17,29.97,Returning,Cash
INV104589,10/15/2024 23:14,S009,C0092,Clothing,3,77.12,24.87,56.98,New,Digital
INV101644,10/15/2024 23:37,S010,SH0035,Shoes,4,137.47,25.5,112.61,New,Digital
INV102631,10/16/2024 0:16,S018,A0031,Accessories,3,40.46,18.31,29.14,Returning,Card
INV109512,10/16/2024 2:03,S005,SH0008,Shoes,8,189.44,14.43,156.54,Returning,Cash
INV109233,10/16/2024 4:30,S016,C0054,Clothing,8,116.23,7.45,78.94,Returning,Cash
INV104613,10/16/2024 5:38,S007,A0004,Accessories,10,53.05,13.76,25.23,Returning,Card
INV103904,10/16/2024 6:06,S004,A0007,Accessories,8,20.59,19.69,9.48,New,Digital
INV102670,10/16/2024 6:52,S019,SH0040,Shoes,5,115.93,24.56,67.64,Returning,Cash
INV101470,10/16/2024 8:57,S011,SH0006,Shoes,7,180.36,19.04,130.26,Returning,Cash
INV109231,10/16/2024 9:38,S011,A0046,Accessories,6,66.7,27,29.51,New,Digital
INV103314,10/16/2024 10:12,S010,SH0003,Shoes,7,68.5,28.87,43.02,New,Cash
INV109299,10/16/2024 10:19,S007,SH0027,Shoes,10,102.51,17.93,79.79,New,Card
INV101834,10/16/2024 11:03,S005,A0006,Accessories,5,63.03,29.15,42.02,Returning,Digital
INV107292,10/16/2024 11:12,S007,SH0028,Shoes,3,74,8,60.16,New,Digital
INV101764,10/16/2024 11:14,S005,A0009,Accessories,7,76.09,16.84,53.21,Returning,Card
INV100113,10/16/2024 11:23,S011,A0025,Accessories,3,38.61,24.73,20.02,New,Card
INV103255,10/16/2024 14:15,S014,C0053,Clothing,9,32.54,15.97,20.64,Returning,Digital
INV102928,10/16/2024 15:15,S002,A0046,Accessories,5,67.95,16.84,37,Returning,Card
INV101268,10/16/2024 15:24,S006,C0048,Clothing,9,23.51,7.71,12.99,New,Cash
INV108406,10/16/2024 18:02,S007,C0090,Clothing,5,88.48,13.49,48.68,New,Card
INV109990,10/16/2024 18:41,S009,A0056,Accessories,3,31.12,28.2,16.02,New,Cash
INV109287,10/16/2024 20:07,S020,A0020,Accessories,8,17.66,15.57,11.32,New,Cash
INV104237,10/16/2024 20:52,S007,C0092,Clothing,10,119.47,9.58,88.69,Returning,Cash
INV109365,10/16/2024 23:37,S017,A0015,Accessories,7,11.58,10.58,8.59,New,Cash
INV107021,10/17/2024 1:00,S004,C0089,Clothing,10,79.72,9.98,51.84,New,Card
INV101391,10/17/2024 1:26,S002,C0032,Clothing,8,25.39,6.99,18.12,Returning,Card
INV100257,10/17/2024 3:15,S008,C0035,Clothing,3,73.37,24.1,54.1,Returning,Card
INV102117,10/17/2024 4:00,S018,C0069,Clothing,6,85.75,9.35,47.22,New,Digital
INV109201,10/17/2024 4:14,S002,SH0028,Shoes,7,144.31,20.99,106.79,New,Cash
INV105958,10/17/2024 5:27,S005,C0020,Clothing,5,95.67,19.32,55.16,Returning,Cash
INV106768,10/17/2024 6:43,S012,A0018,Accessories,7,71.89,26.23,41.39,New,Card
INV105981,10/17/2024 7:20,S007,SH0017,Shoes,6,149.06,25.04,108.7,Returning,Card
INV104776,10/17/2024 7:48,S005,C0062,Clothing,6,26.05,26.92,17.79,Returning,Digital
INV107575,10/17/2024 7:53,S012,SH0018,Shoes,9,169.15,5.93,136.25,New,Digital
INV108949,10/17/2024 8:13,S003,A0018,Accessories,6,11.36,12.11,6.3,Returning,Digital
INV103551,10/17/2024 8:20,S005,SH0034,Shoes,7,58.63,16.05,44.73,New,Card
INV104864,10/17/2024 8:53,S020,SH0040,Shoes,10,178.66,20.23,127.94,Returning,Digital
INV108355,10/17/2024 9:04,S009,SH0011,Shoes,9,142.18,9.87,112.68,Returning,Card
INV107997,10/17/2024 9:51,S020,SH0032,Shoes,5,199.34,29.26,126.77,Returning,Digital
INV106714,10/17/2024 11:14,S009,A0017,Accessories,9,18.79,26.84,7.99,New,Digital
INV109315,10/17/2024 13:09,S007,A0056,Accessories,3,73.3,23.59,48.26,Returning,Card
INV101894,10/17/2024 13:58,S002,A0002,Accessories,8,45.88,25.51,22.1,New,Card
INV109748,10/17/2024 14:02,S014,A0046,Accessories,7,11.92,29.75,5.83,Returning,Card
INV102822,10/17/2024 14:29,S010,C0030,Clothing,3,44.22,22.32,26.44,New,Cash
INV106419,10/17/2024 14:59,S007,C0098,Clothing,5,20.17,7.57,14.07,New,Digital
INV104392,10/17/2024 15:00,S002,C0001,Clothing,5,24.01,8.2,18.29,Returning,Cash
INV102976,10/17/2024 15:38,S009,SH0003,Shoes,4,101.72,26.24,56.22,Returning,Cash
INV101121,10/17/2024 15:42,S005,A0007,Accessories,10,14.68,20.2,7.53,New,Digital
INV105882,10/17/2024 16:22,S020,A0053,Accessories,10,62.97,25.5,39.73,New,Digital
INV101646,10/17/2024 16:25,S017,C0011,Clothing,3,38.22,10.25,21.61,Returning,Card
INV101753,10/17/2024 18:07,S014,A0015,Accessories,9,34.36,6.49,14.32,Returning,Card
INV101152,10/17/2024 18:08,S018,C0089,Clothing,4,59.64,29.76,44.55,New,Digital
INV103294,10/17/2024 19:51,S014,C0081,Clothing,6,90.17,11.98,61.68,Returning,Card
INV107818,10/17/2024 20:19,S016,C0091,Clothing,6,33.84,23.32,18.42,Returning,Card
INV106622,10/17/2024 20:30,S019,SH0023,Shoes,6,54.12,8.64,43.96,New,Cash
INV103569,10/17/2024 21:17,S018,C0055,Clothing,6,94.94,16.56,60.04,New,Cash
INV101168,10/17/2024 21:17,S016,SH0001,Shoes,8,88.54,28.02,70.25,New,Cash
INV102855,10/17/2024 21:44,S014,SH0024,Shoes,3,137.05,18.14,109.48,New,Cash
INV100571,10/17/2024 22:49,S005,SH0009,Shoes,8,175.51,16.29,132.64,Returning,Cash
INV108483,10/17/2024 23:54,S008,SH0003,Shoes,9,101.45,22.38,67.57,New,Cash
INV100302,10/18/2024 1:35,S003,C0089,Clothing,3,113.31,5.32,67.89,New,Digital
INV102360,10/18/2024 1:44,S004,A0044,Accessories,4,36.65,28,22.19,New,Digital
INV100627,10/18/2024 5:18,S002,C0033,Clothing,9,96.83,21.97,52.9,Returning,Cash
INV105098,10/18/2024 7:11,S009,SH0018,Shoes,4,43.52,21.49,33.05,New,Card
INV102278,10/18/2024 7:12,S001,SH0022,Shoes,10,98.82,19.16,82.56,New,Card
INV104636,10/18/2024 7:31,S008,A0045,Accessories,6,67.43,23.14,31.94,New,Digital
INV106148,10/18/2024 7:59,S017,C0052,Clothing,3,78.49,16.6,48.01,Returning,Cash
INV103252,10/18/2024 8:07,S005,SH0024,Shoes,8,95.15,11.83,76.38,Returning,Cash
INV103748,10/18/2024 8:42,S008,A0004,Accessories,4,54.85,22.85,37.99,Returning,Cash
INV100065,10/18/2024 10:26,S011,A0019,Accessories,3,56.38,16.37,30.45,Returning,Card
INV102342,10/18/2024 12:30,S001,SH0003,Shoes,10,41.93,8.91,35,New,Digital
INV104902,10/18/2024 12:55,S012,SH0002,Shoes,3,62.3,22.73,38.71,New,Digital
INV108282,10/18/2024 13:11,S005,A0013,Accessories,10,30.65,14.81,15.28,New,Digital
INV109868,10/18/2024 13:33,S003,SH0027,Shoes,5,113.36,18.2,69.67,New,Card
INV107331,10/18/2024 15:42,S011,SH0019,Shoes,9,155.5,9.49,129.26,Returning,Cash
INV103356,10/18/2024 15:59,S019,A0009,Accessories,5,46.96,16.87,30.4,Returning,Digital
INV109202,10/18/2024 16:23,S001,C0050,Clothing,7,55.15,10.89,28.25,Returning,Digital
INV108339,10/18/2024 16:24,S016,C0043,Clothing,5,71.79,13.28,55.93,New,Cash
INV109888,10/18/2024 17:43,S004,A0034,Accessories,5,58.25,7.27,30.86,New,Card
INV104393,10/18/2024 18:15,S013,SH0023,Shoes,3,101.36,12.29,79.05,New,Card
INV105239,10/18/2024 18:28,S002,A0034,Accessories,3,36.94,28.33,21.96,Returning,Card
INV102515,10/18/2024 19:05,S017,C0027,Clothing,6,99.99,11.55,72.22,Returning,Card
INV108642,10/18/2024 21:52,S004,C0024,Clothing,4,70.31,11.53,40.54,New,Digital
INV103612,10/18/2024 22:39,S019,SH0018,Shoes,5,184.35,14.43,112.64,Returning,Card
INV108462,10/19/2024 0:04,S001,SH0005,Shoes,9,75.91,18.57,48.63,New,Digital
INV108860,10/19/2024 0:09,S003,A0053,Accessories,6,72.79,29.73,53.84,Returning,Card
INV106300,10/19/2024 0:53,S006,C0008,Clothing,5,75.91,25.47,39.11,New,Cash
INV106668,10/19/2024 0:59,S013,SH0026,Shoes,10,198.99,10.32,131.18,Returning,Card
INV101972,10/19/2024 1:09,S002,SH0027,Shoes,9,176.51,27.9,146.11,New,Digital
INV104612,10/19/2024 2:34,S014,SH0008,Shoes,9,64.56,21.46,44.83,Returning,Digital
INV106030,10/19/2024 3:08,S009,SH0025,Shoes,7,91.92,11.46,59.71,New,Cash
INV108704,10/19/2024 3:36,S006,SH0013,Shoes,6,131.53,28.68,108.59,New,Cash
INV107463,10/19/2024 3:54,S012,SH0036,Shoes,6,70.16,25.26,48.87,Returning,Digital
INV107271,10/19/2024 5:25,S013,SH0025,Shoes,6,85.52,27.97,59.82,New,Digital
INV102081,10/19/2024 6:01,S017,C0094,Clothing,3,107.72,6.6,64.84,Returning,Digital
INV108319,10/19/2024 6:18,S001,SH0023,Shoes,9,180.49,15.61,141.02,Returning,Card
INV102803,10/19/2024 7:03,S001,A0047,Accessories,7,63.68,21.83,42.89,New,Cash
INV101109,10/19/2024 7:49,S020,C0002,Clothing,8,92.31,26.75,66.55,New,Cash
INV107622,10/19/2024 8:08,S002,SH0029,Shoes,4,144.04,26.12,116.42,New,Cash
INV104951,10/19/2024 8:29,S007,SH0029,Shoes,8,104.64,23.15,73.73,Returning,Digital
INV101679,10/19/2024 8:48,S010,C0094,Clothing,3,111.39,19.58,77.89,Returning,Card
INV109794,10/19/2024 10:08,S010,A0038,Accessories,10,57.92,17.52,38.07,New,Digital
INV109415,10/19/2024 12:06,S018,A0006,Accessories,10,13.03,25.82,5.54,Returning,Cash
INV104609,10/19/2024 12:13,S013,SH0036,Shoes,4,57.86,5.84,39.36,New,Cash
INV103545,10/19/2024 12:52,S013,A0031,Accessories,7,54.38,15.03,37.02,New,Digital
INV106678,10/19/2024 14:14,S010,SH0038,Shoes,5,94.54,24.87,68.33,New,Cash
INV107206,10/19/2024 14:34,S012,C0032,Clothing,5,114.41,11.03,87.79,Returning,Digital
INV108342,10/19/2024 14:43,S002,C0041,Clothing,6,116.65,14.49,71.97,Returning,Digital
INV101601,10/19/2024 17:21,S011,SH0026,Shoes,8,70.17,20.8,40.62,New,Card
INV100011,10/19/2024 17:49,S010,SH0001,Shoes,4,135.83,28.23,94.62,New,Cash
INV101365,10/19/2024 18:58,S011,C0095,Clothing,4,61.19,23.32,33.74,New,Digital
INV108322,10/19/2024 21:02,S004,SH0014,Shoes,10,79.46,20.43,45.14,New,Card
INV101682,10/19/2024 21:07,S013,SH0038,Shoes,9,187.55,18.51,108.27,Returning,Digital
INV100439,10/19/2024 21:18,S012,SH0039,Shoes,10,131.57,23.73,94.55,New,Cash
INV101066,10/19/2024 23:12,S011,SH0012,Shoes,10,173.72,23.22,97.08,New,Cash
INV107462,10/20/2024 0:11,S005,SH0033,Shoes,6,46.06,25.42,34.71,Returning,Digital
INV105527,10/20/2024 1:16,S011,SH0004,Shoes,6,121.2,12.94,81.49,Returning,Cash
INV106287,10/20/2024 3:09,S010,C0006,Clothing,7,58.92,7.35,31.9,Returning,Cash
INV106073,10/20/2024 4:04,S006,A0056,Accessories,6,19.71,9.34,10.47,Returning,Cash
INV105621,10/20/2024 4:27,S012,C0037,Clothing,4,71.24,25.14,41,New,Cash
INV101576,10/20/2024 5:42,S014,C0038,Clothing,10,25.21,25.36,15.43,Returning,Digital
INV104460,10/20/2024 6:57,S018,C0033,Clothing,10,35.87,29.62,22.59,New,Card
INV109291,10/20/2024 8:16,S007,SH0008,Shoes,9,52.53,9.19,37.68,New,Digital
INV106123,10/20/2024 9:12,S018,C0037,Clothing,5,69.06,19.66,41.32,New,Cash
INV108399,10/20/2024 14:49,S003,SH0036,Shoes,3,80.27,9.84,63.32,Returning,Digital
INV109931,10/20/2024 15:50,S015,A0010,Accessories,3,31.75,22.91,20.36,New,Cash
